player,LIV_Player,year_month,year,answer_length,PGA,LIV,relevant,question,reply_sentence,LIV_CHANGE
rory mcilroy,0,2023-11,2023,185,1,1,1,and do you expect clarity because at the moment the waters are seriously muddy aren't they,it's a formalising of the pathway that's always sort of been there i got into the top in the world at the end of and in i was going to start in the middle east and then i was going to the states and play the match play the honda the whatever else it's always been there it's just a bit more official but at the same time you know the reason that the european tour started with as to give professional golfers opportunities to play golf tournaments and earn a living so if you look at what the mission statement is for the dp world tour it's to give professional golfers opportunities to play their sport make a living and there's no better place to have opportunity and to make a living than what's going on on the pga tour so i don't see that side of the argument at all for golfers playing on the european tour i think it's an amazing thing that's happened and as i said is formalizes a pathway to get to the very top level of professional golf,0
rory mcilroy,0,2023-11,2023,13,1,0,1,pga tour card being handed out there's been some outside noise about it's not been a good thing for the dp world tour that we are losing ten stars do you see it just as a sort of progression of the natural migration that happened in previous years when players went to the us,i didn't see it as a sacrifice i see it as an opportunity,0
rory mcilroy,0,2023-11,2023,103,1,0,1,we've got the scottish open as a co sanctioned event but would you like to see more co sanctioned events between the dp world tour and the pga tour i always thought the middle east cohost won whether it be dubai or elsewhere is that something you would like to see in the future,yeah i would say that's right i think getting something done sooner rather than later is a good thing because you know even if we get a deal done it doesn't mean that it's actually going to happen that's up to the united states government at that point and whether the department of justice think that it's the right thing to do or whether anti competitive or whatever even if a deal does get done it's not a sure thing so yeah we are just going to have to wait and see but in my opinion the faster something gets done the better,0
jon rahm,1,2023-10,2023,232,0,1,1,the scenes on the last few holes were you aware of the situation what were your emotions when your tee shot on hit the green and rickie conceded the putt,obviously i don't have as much experience in ryder cups as rosey and rory have but i think they mailed it it's the ability to walk through those gates and those doors and forget about who you are outside of this week what you have done or what you may do afterwards really truly doesn't matter in my case obviously the spaniards have a legacy to live up to it's certainly not easy right the three main figures before me seve ollie and sergio are three guys that if i'm not mistaken all three of them have earned points in the ryder cup three out of nine are spanish so it's a lot to live up to and it's something that really inspires me especially when josé is around right he always tells me little things to inspire me in that sense so following in their footsteps and how they try to make the team better is the way i've approached it as well i try to do my part in the team room but i think rory said it best is the fact that we can go in there and make fun of each other and nobody really cares right we all laugh and that's about it i mean you need to be able to make fun of yourself and it's a truly humbling experience to be part of this team,0
rory mcilroy,0,2023-09,2023,155,0,1,1,MODERATOR,with some of them some of them i do and some live in live in different places and it's hard and then the weeks of tournaments are always so busy and we are always doing our own things and have our own little teams around us and it's hard to carve out that time i feel like leading up to ryder cups it's always a bit easier irish open and wentworth the last couple of weeks spending more time with guys and making that a priority has been there but yeah during the course of the year i'm just as close with a lot of the american guys as i am with the europeans just because of the places i play and where i live and who i practise with and who i play with at home but these last few weeks have been really nice to sort of reconnect with some of those guys,0
rory mcilroy,0,2023-09,2023,100,1,0,1,how much quality time do you get to spend with the guys on your team on the pga tour or dp world tour do you go for dinner or get to have long extended quality time with these guys or not really,no because i think that's all part of the ryder cup there's not a lot of other instances in the game of golf where that happens but there's certainly a line most fans that come out to watch golf are very respectful and they know what that line is no i have no issues about that yeah we have all had our fair share of heckles over the years and whatever and that's the a part of it someone said to me once if you want to be part of the circus you have to put up with the clowns,0
rory mcilroy,0,2023-09,2023,10,0,1,1,a lot of water under the bridge in the last couple years but in this week of all weeks do you actually miss guys like sergio poulter westwood,i live in florida so i'm all right with heat,0
rory mcilroy,0,2023-09,2023,59,0,1,1,did he live up to your expectations,probably exceeded them everyone talks about what a great driver of the golf ball he is and which he is the ball striking is incredible but i was really impressed with his wedge play and how he can sort of control his trajectory with shorter clubs i was on the bandwagon before certainly at the front of it now,0
rory mcilroy,0,2023-09,2023,178,0,1,1,your own game coming into this week how big is it to sharpen their game this week,yeah i mean again even though you know we are trying to create this really good team environment at the end of the day we are individual sports people we all need to do what's best for us to get ourselves ready to play in rome yeah i feel like that we have this week it's nice to be able to stay short putt some of the guys from the states the last competitive guys they will have played is the tour championship a couple weeks ago but there's also some guys on the team that will i think play napa is it this week and then i know brooks is obviously playing the week before in a liv event there's some guys that are going to have i guess a bit more sharpness coming in the build up to ryder cup week is so long anyway get there on a monday and you've got that extra day you're not playing until friday i'm pretty sure everyone on both teams will feel ready to go on friday morning,0
rory mcilroy,0,2023-09,2023,195,0,1,1,you've played under a few captains now i just wonder how your relationship with luke compares to others and given you're a senior figure is your relationship with the captain different has that evolved do you feel he is leaning on you,actually not really i think he's sort of let me be a little bit we've played a lot of golf and trying to play well look we have chats we live on the same street in florida we live ten houses down from each other so it's not as if we don't see each other all the time but it's just been on a more casual sort of basis it has not been sit down talks and strategies and pairings that's not my that's not my job i don't want to have that role i'm one of his players and i just want to do my best for the team but like if there's anything asked of me by being a leading player a veteran player a player that's played in quite a few of them i'm certainly happy to take direction and do what's needed of me but i don't feel like it's my place to give the captain my opinion unless it's asked for and luke i think has got a lot of great vice captains around him and has leant on a couple of past captains as well which has been great,0
rory mcilroy,0,2023-09,2023,65,0,1,1,out early at but the irish crowds out in great force describe the support you get from the irish crowds here in the dublin area,it's fantastic no matter where we play the irish open the crowds always come out it's a pleasure to play in front of them because they are very knowledgeable and they are very enthusiastic i feel like they live and die every shot with you whether you hole a putt or miss a putt but it's great to have that support out there for sure,0
rory mcilroy,0,2023-09,2023,194,1,0,1,what do you make of the team in the end pádraig was in here yesterday he was pretty bullish about the team saying maybe we're back to where we were in the ' s with sort of the top players in the world on the team,yeah i would have to agree with that you look at viktor end of the season with what jon rahm as has done this year myself tommy fleetwood back to playing some of the best golf he's played in a while tyrrell shane rosey i think you've got a nice blend of experience and youth in the team i think everyone that everyone who has followed golf over the last few months has known the potential that someone like ludvig has had you just have to watch him hit balls on the range at a pga tour event i mean he's special he really is he's an unbelievable ball striker i don't think people maybe from this part of the world recognised it because he's played all of his golf in college and in the states and then played a lot of pga tour stuff but he came over here and finished fourth in czech republic and won in switzerland he proved to a lot of people that he's worthy of a pick i honestly think luke was going to pick him regardless but he obviously his job easier when he won on sunday,0
rory mcilroy,0,2023-08,2023,147,1,0,1,we saw you out there yesterday on the putting green it looked like maybe you had gone back to the spider putter do you know what you're going to have in the bag for the putter this week,yeah maybe less emotionally involved i last year it was to do with how can we make the product of the pga tour better and i think i was really invested in that so when it comes to like governance and investment and all that like that doesn't really not that i don't care about it but it doesn't excite me as much as making the product better and how can we make this the most competitive landscape to play professional golf and how can we get all the best players to play together like that's the stuff that excites me the stuff that's going on right now look i'm on the board and i have to be involved and whenever something's brought to the table i'll vote on it yes or no but yeah maybe just not as emotionally engaged on all of this other stuff,0
rory mcilroy,0,2023-08,2023,11,0,1,1,just looking ahead to the ryder cup just out of curiosity do you have a problem with the americans being able to select liv guys and europe's not or it is what it is,no i don't think it would make a difference for us,0
rory mcilroy,0,2023-08,2023,118,0,1,1,for the ryder cup the ryder cup being able to take guys from liv the americans taking liv guys and europe not,it depends what you value i think scottie's won twice this year jon's won four times jon's won the masters scottie's won the players if you go on total wins it's hard because how can you not it's going to be really difficult because scottie's had he could end up with the best ball striking season of all time he's hit the ball as good if not better than tiger hit it in which is the benchmark for all of us but i think jon probably has a little more to show for his year but i think it could come down to this week and who performs but it's a two horse race between jon and scottie,0
rory mcilroy,0,2023-08,2023,352,1,0,1,do you have a thought on who the player of the year should be right now and how could that change over the next four days,so this happened to me this year at oak hill i mean i think when you play as much golf as we do your subconscious knows what shots you can hit and what shots you can't and i was over my second shot at oak hill on on sunday not really like didn't have a chance to win the golf tournament i was in the top but i mean whether i made birdie or not on that hole it wasn't really going to make a difference the pin was on left side of the green and i just sensed myself aiming further and further right as i got over the ball so i just couldn't trust that i could hit the shot that i wanted to hit and when i got in after that i was like i need to do something here because i'm not able to hit if i can't hit a shot under basically zero pressure to a left pin how am i expected to do it when so that was really just that's when it's like this is purely technique i need to go and work on some stuff i think the little bit of work that i did around like after pga before that memorial canada u s open travelers stretch like that really helped me go on to play some really basically after that even though i played okay at oak hill i wasn't terribly comfortable but i went on a really consistent run after then and just that little just that little bit of like self reflection and being like yeah that wasn't a good feeling and knowing that okay i need to get my i need to work on my technique a little bit so that i can trust what i'm doing a bit more i think it always comes back to that like you can make some equipment changes to try to freshen it up or try to just get a different look but for the most part it's the person at the end of the club swinging it that's usually the problem,0
rory mcilroy,0,2023-08,2023,72,1,0,1,the format this week it seems like it's close to being as good as it can be all things considered is there any way it could be improved going forward do you think,well it needs to be both but again going back to my previous comments of the pga tour as a product and being able to create an entertaining finale that has some drama and has a lot of high stakes i would say both like the players have to feel it's fair as well but if i'm thinking big picture i would say entertainment has to be a big part of it,0
rory mcilroy,0,2023-08,2023,297,0,1,1,if it were addressed going forward what would be more important entertainment or fairness,so yeah i think you know i was i feel like once everything sort of got up and running with the innovation lab and making sure that all the technology is humming along and working together i get probably weekly updates on it but i wouldn't say that i'm hugely i think i'll become a lot more involved once we're able to get into the arena start testing the stuff start to try to figure out all the little glitches that are bound to happen before the start in january so i would say at this point it's been about trying to sell the team franchises and that's been going really well and there's been a lot of interest created trying to fill the rosters trying to get people on board and that you know that's not my job that's the ceo and the guys behind the scenes but i think sort of post ryder cup and once we're able to get into the arena in october time i think i'll become a lot more involved and just making sure everything's sorts of set up the right way and then approach wise i think you can have a little more fun with it you can be aggressive yeah it's going to be a more lively atmosphere we're going to be mic'd up we're going to be able to maybe say some stuff there that we wouldn't necessarily say out here so i'm looking forward to it it's going to be a different format it's going to be hopefully entertaining for fans and exciting to watch maybe some formats that people haven't seen before so it's going to be cool it's going to be interesting a little more of a team element which i think will be cool,0
rory mcilroy,0,2023-08,2023,126,1,0,1,we're not that far off from the launch of the tgl just curious how involved are you week to week day to day in preparing for that and then how will you approach competing in one of those events compared to how you approach competing at a regular tour event,i don't think all the player directors have to be unanimous i don't think it has to be a unanimous vote it just has to be a majority and i think tiger being on the board you know he's i think it's meaningful that he's on it that he's engaged he's certainly been spending more time on it than i have he's been talking to some people he's been talking to a lot of people he's really engaged in just trying to get the best outcome for the players on the pga tour so i think his difference has been felt already i think it will only continue to his presence on there will only continue to grow as we head towards that december st deadline,0
rory mcilroy,0,2023-08,2023,65,1,0,1,just a couple of comments on viktor who you played with today,amazing yeah looks like he's going to win after scottie's bogey there yeah absolutely amazing golf amazing playing look he's had some great wins already this year had a great chance at the pga championship didn't quite get it done but yeah he's a world class player and looking forward to him being on my team for the ryder cup in a few weeks' time,0
rory mcilroy,0,2023-08,2023,101,1,0,1,sometimes i ask you questions and i really don't know how you're going to answer and this is one of them i think you should be pleased with the week you're not going to win but a top finish you have to really be looking forward to two more playoff events,absolutely yeah yeah my game is in really good shape i think tee to green this is just a continuation of what i've been seeing over the past couple of months ever since really that like pga championship all the way through to here ball striking wise tee to green it's been really good i started to hole a few more putts on the weekend here and got myself up the leaderboard yeah with two playoff events to go i'm certainly happy with the start i wish i could have been a couple better but nothing but confidence going into chicago,0
rory mcilroy,0,2023-08,2023,141,1,0,1,is a pretty solid day out here i know that there's a bit of frustration as well just describe some of the emotions coming off the golf course,yeah i guess sort of it feels like a week of what could have been yeah look again everyone in this field could think about the shots that they could have saved over the course of the four days but i just think with how good my game has felt from tee to green i could have maybe taken more advantage of that over the last few days but still it's another really solid tournament if anything it's just it's another i guess block in the wall in terms of like building the confidence and from where my confidence was at the pga championship in may to where it is now it's completely different i've been on a nice little run and yeah if i i sort of have to keep it in perspective and i'm feeling really good about everything,0
rory mcilroy,0,2023-08,2023,112,1,0,1,to go to monday's announcement of the schedule i know it's really early in the process but have you looked at what your schedule might look like next year based on the changes and what are your thoughts on the flow of what they came up with for next year,yeah so there's a lot that i like with this schedule next year i love quail hollow going straight into pga i love memorial going straight into u s open i think for me anyway the run up to augusta is a little i don't know what i'm going to play there if at all maybe play san antonio the week before but i'd say my schedule will look pretty much the same as it did this year i'll most likely i'm not a huge hawai'i guy so i'll probably not go to hawai'i but i'll play pebble beach and sort of play a similar schedule from there on that i've played,0
rory mcilroy,0,2023-07,2023,118,1,0,1,your th win on the pga tour th on the dp world tour championship and your first on scottish soil how gutsy were those closing birdies for you on and when you think of gutsy performances in your career,this is right up there with the best of them especially after missing the short birdie putt on i thought if i can birdie one of the last two and get into a playoff that would be a bonus to finish in these conditions the two iron shots that i hit the iron into and the iron into the last are probably two of the best shots i've hit all year and then to finish them off with the putts as well yeah it feels absolutely amazing i've had a few close calls recently so to get over the line and get this bit of confidence going into next week and the rest of the season is huge,0
rory mcilroy,0,2023-07,2023,137,0,1,1,you had to wait to take that putt on what was going through your mind,i was just trying to take the scene in everyone around the green you know i get to do this not for a living but i get to do this to try to fulfill my boyhood dreams i guess so to be on the green in that environment and the more that you can try to smell the roses along the way so that's what i was trying to do i was just trying to take in the scene and do anything to not think about the putt that i was going to try to hit i knew what it was i didn't need to over think it it was a straight downwind putt so i just needed to get it started on line and gravity and the wind and conditions will take care of the rest,0
rory mcilroy,0,2023-07,2023,97,1,0,1,the week before your last major win the us pga you obviously won bridgestone you've obviously now won again heading to hoylake how much of a boost is it heading down the road,yeah it is it's nice to have the validation the validation it's great racking up top s top s but it's much nicer heading away with a trophy on sunday afternoon it's a great shot of confidence again going back to that little nugget about the australian open in having something fresh in my memory if i hopefully find myself in a similar position next week where i've got a chance to win with nine holes to go i can certainly draw on what i did here today that i can get myself in the mix again,0
rory mcilroy,0,2023-07,2023,99,0,1,1,heading back to hoylake next week how does it feel going back being defending champion on that course and how valuable to play this week before going there,yeah very excited i've only been back to i think one major venue that i've won season since which was kiawah back a couple years ago yeah every time i see this it gives me goosebumps yeah it will be really cool it will be really cool to go back there so i think playing links golf this week as well definitely just helps me get acclimatised to conditions and the grass type and everything else there's a lot of golf to be played before going down to liverpool and i want to play well the next three days,0
rory mcilroy,0,2023-07,2023,153,1,0,1,i don't think you played in this last year as a warmup to the open what's your decision as to why you're playing in it now and how are you feeling ahead of what's going to be as ever a huge two weeks,last year we had the jp mcmanus pro am so i felt like even though it wasn't completely competitive and serious i felt like i guess easing my way back into competitive golf before the open at st andrews so i just felt like this year coming off the back of a big stretch having three weeks off going into the open probably wasn't going to be the ideal prep so to get some competitive golf under my belt going into hoylake but also it's now a co sanctioned event with pga tour european tour leading the race to dubai up there in the fedexcup it's also an opportunity to gain some points on both sides of the pond looking towards the end of the year and trying to win the season long titles on both sides again i feel like i'm sort of killing a few birds with one stone this week,0
rory mcilroy,0,2023-06,2023,45,0,1,1,assuming you take the next couple weeks after this off before heading over and getting ready to play to liverpool how are your energy levels at this point played a lot and a lot of things going on,i actually feel okay you know i think two days at home in between la and here was nice to not really do anything yeah i actually for my fourth week in a row feel okay which is a pleasant surprise fastscripts by asap sports,0
rory mcilroy,0,2023-06,2023,102,1,0,1,rory talk us through your first ace on the pga tour,yeah iron to yards slightly back into the wind off the right and yeah as hole in ones go i've had them in the past where it has been like an okay shot and you get a little lucky that was the best shot of the day that i hit obviously a bonus for it to go in the hole but it was really cool i played pretty averagely up until that point felt like that hole in one got me going a little bit birdied the next couple holes after that and sort of got me into the tournament a bit,0
rory mcilroy,0,2023-06,2023,29,0,1,1,when does the countdown to royal liverpool start,three minutes ago i guess yeah i'll play travelers next week i'll play the scottish open but i'm focused on making sure that i'm ready to go for liverpool,0
rory mcilroy,0,2023-06,2023,52,0,1,1,you've won majors before you've won this tournament before you spoke recently about how you're watching back your triumph at royal liverpool golf club what boost does that give you that know how that savvy of winning the sport's biggest prize going into tomorrow,i don't know it's been such a long time since i've done it i'm going out there to try to execute a game plan and i feel like over the last three days i've executed that game plan really really well and i just need to do that for one more day,0
rory mcilroy,0,2023-06,2023,73,1,0,1,the events of the past week have they perhaps concerned you that you put your faith in maybe an altruistic version of the pga tour that doesn't exist at least maybe not anymore and maybe you need to look after yourself a little more,yeah i'm not that i wouldn't say i viewed the pga tour as through that altruism lens per se i mean at the end of the day this is business and my job is playing golf at the end of the day so the more that i can focus on that and focus on the birdies and the bogeys instead of the stuff that's happened in the board room i'll be much happier,0
rory mcilroy,0,2023-06,2023,251,1,1,1,yesterday's news i guess how and where were you when you received it and how did it make you feel,yeah so i think the one thing that i think was really misconstrued last yesterday was all the headlines were pga tour merges with liv and liv's got nothing to do with this right it's the pga tour dp world tour and the public investment fund are basically partnering to create a new company this has gotten i think that's where i was a little frustrated because all i've wanted to do and all i've wanted in the past year from basically this tournament is to protect the future of the pga tour and protect the aspirational nature of what the pga tour stands for and i hope that this does that but i think with the headlines being merges with liv like that's not the i mean if you look at the structure of how it's structured now this new company sits above everything jay's the ceo of that so technically anyone that is involved with liv now would answer to jay so the pga tour have control of everything and one thing as well is whether you like it or not the pif were going to keep spending the money in golf at least the pga tour now controls how that money is spent so you know if you're thinking about one of the biggest sovereign wealth funds in the world would you rather have them as a partner or an enemy at the end of the day money talks and you would rather have them as a partner,0
rory mcilroy,0,2023-06,2023,181,1,0,1,given that the doj was already looking into the pga tour for antitrust violations and all of that how much of an uphill battle do you think this is going to be to push this through going forward now now that the two sides have kind of come together and are operating together here,i mean i feel bad for rbc and the canadian open to think about what went on this time last year and then the bombshell that was dropped i mean rbc have been one of the biggest supporters of the pga tour over the last years this year they're supporting a designated event at hilton head they're sponsoring their national open they're pouring tens of millions of dollars into the pga tour that the players obviously benefit from so i really i feel bad because being such a great partner and having this stuff sort of dropped on you two years in a row is very unfair as to what it looks like going forward i would like to say that things don't change i would like to think that the canadian open keeps on thriving and just like every other event on the pga tour and i think the pga tour are hopefully going to announce their schedule here in the next three or four weeks and i don't think that will you know i don't expect that to change,0
rory mcilroy,0,2023-06,2023,220,1,0,1,i know it's early but how does an announcement like this impact tournaments like the canadian open for example one of the storied events on the pga tour,i do and look i've dealt with jay a lot closer than a lot of those guys have from where we were a couple of weeks ago to where we are today i think the future of the pga tour looks brighter as a whole as an entity what that looks like for individual players in terms of keeping a tour card and bringing players back into the fold and then that sacrifices other people that's where the anger comes from right and i understand that there still has to be consequences to actions the people that left the pga tour irreparably harmed this tour started litigation against it like we can't just welcome them back in like that's not going to happen and i think that was the one thing that jay was trying to get across yesterday is like guys we're not just going to bring these guys back in and pretend like nothing's happened that is not going to happen so i do have confidence in him i think you ask the people around him that deal with him in a business sense whether it's the directors of the board of the pga tour or the title sponsors that he deals with i mean he seems to be a very impressive individual when it comes to business,0
rory mcilroy,0,2023-06,2023,6,1,0,1,we heard there was a lot of anger in the clubhouse yesterday in the meeting yesterday with the commissioner do you still have confidence in jay monahan as commissioner of the pga,i was never offered any money,0
rory mcilroy,0,2023-06,2023,108,0,1,1,i know you and many other golfers were offered substantial amounts of money to join liv,i mean the simple answer is yes the complex answer is how does that happen right and that's all that's all a gray area and up in the air at the minute but yeah there is it's hard to it's hard for me to not sit up here and feel somewhat like a sacrificial lamb and feeling like i've put myself out there and this is what happens again removing myself from the situation i see how this is better for the game of golf there's no denying that but for me as an individual yeah i there's just going to have to be conversations that are had,0
rory mcilroy,0,2023-06,2023,155,1,1,1,oh my apologies should the golfers who maybe stayed loyal and turned down liv should they be made whole financially,so i think yasir is very so the pga tour already is doing their own sort of team thing right we're going to do tgl which is it's not on a golf course but it's a team type of event and it's an entertainment product and that stuff was already starting to happen but it was very so you had like proper competitive golf like we're playing this week and you have more entertainment type of golf that you get more into the team atmosphere and you bring tech into it and it's a more made for tv type of deal i would say an element of team golf might still stay it certainly in my opinion and my hope is it won't it won't be under the liv umbrella it's something that the pga tour will control the pga tour will operate and it will hopefully look very different to what liv has been,0
rory mcilroy,0,2023-06,2023,71,1,1,1,you mentioned that this has really nothing to do with liv golf but do you foresee you and other pga tour players having to play some sort of team events moving forward into the fall or a series of them,yesterday was tough i think the shock of it the surprise of it i wasn't looking forward to this to be honest with you but once we all get done here and you write your stories and say what you say what i say or quote me or whatever it is i'm going to go to the range and do some practice and try to get ready for a golf tournament,0
rory mcilroy,0,2023-06,2023,136,1,1,1,how much of a distraction is this as you try to go and win this tournament three times in a row,but it's not liv i think that's the thing i still hate liv like i hate liv like i hope it goes away and i would fully expect that it does and i think that's where the distinction here is this is the pga tour the dp world tour and the pif very different from liv all i've tried to do is protect what the pga tour is and what the pga tour stands for and i think it will continue to do that so look going forward i hope that there's you know there may be a team element and you're going to see maybe me maybe whoever else play in some sort of team golf but i don't think it will look anything like liv has looked and i think that's a good thing,0
rory mcilroy,0,2023-06,2023,129,1,1,1,a lot of fans are upset at this news the war of words between the pga tour and liv got very heated and fans got very involved what do you say to fans who are disappointed in this deal,of course i said it to jay yesterday you've galvanized everyone against something and that thing that you galvanized everyone against you've now partnered with so yeah of course i understand it it is hypocritical it sounds hypocritical the one thing i would say is again whether you like it or not the pif and the saudis want to spend money in the game of golf it is they want to do this and they weren't going to stop so how can you know the thing for me and this is the one thing that i've always thought about how can we get that money into the game but use it the right way and i think that's what this ultimately will do hopefully i mean that's my hope,0
rory mcilroy,0,2023-06,2023,1,0,1,1,just as a follow up i mean you do see why fans are upset though i see what you're saying that it's not liv it's the pif but nonetheless during this back and forth over the past year at one point jay monahan said a deal like this would never happen out of respect for the victims of obviously you're not responsible for what mr monahan says but you can see why this has stirred up a lot emotions in fans right,yeah,0
rory mcilroy,0,2023-06,2023,149,1,0,1,welcome to canada how are you able to sort of quell a lot of the noise that comes around you you played great through three rounds at the pga championship such a hard course memorial in a perfect spot such a hard course but any time you don't win the perception is like rory let down but you're tackling these really difficult layouts and you're putting yourself in a perfect spot on that note we have a u s open next week how familiar on that course and did you get a chance to talk to jack yet because we picked up on the mic when you walked off at memorial he said he wanted to sort of have a sit down,yeah look it was heated people were surprised people felt like they were in the dark about all this look most of the gripes come from the guys that are you know trying to hold onto their cards and they feel like things have already been taken away from them this year with the designated events and smaller fields and no cuts and weighted fedexcup points for the larger events with the stronger fields so they were already feeling somewhat vulnerable then whenever this news is brought about there's only going to be one reaction to that and i understand that and honestly it's hard for me to relate to those guys because i've never been in that position i try to empathize with it but it's hard for me to it's hard for me to relate to them fully but i certainly empathize with their point of view,0
rory mcilroy,0,2023-06,2023,47,1,0,1,i don't think you've ever played with lipsky at least on a sunday can you remember ever playing with him in europe,not on the pga tour i might have played with him in europe somewhere when he was over there and playing more regularly i certainly played with him whether that would be in a tournament or a practice round i've certainly played a few holes with him,0
